NumCols:	4
A	-0.703392	-0.161333	0.230996	0.0822136
C	0.193188	0	-0.0212823	0
D	0.0862132	0.453031	0.212519	0.393563
E	0.2424	-0.0525577	0.462739	1.06329
F	0.173038	-0.334938	-0.325348	-0.750675
G	0.238912	0.309979	-0.0978039	0.300004
H	0.162101	0.0899201	-0.171989	0.065279
I	0.0746955	0.316828	-0.0807631	-0.037773
K	-0.360747	-0.00251276	0.0247229	-0.108187
L	-0.540844	0.440061	0.154433	-0.676982
M	0.064409	0.166425	-0.377942	-0.0946904
N	-0.0836163	-0.00827895	0.387254	0.128432
P	0.524788	0.508984	0.488341	0.212883
Q	0.206786	-0.315563	0.0425259	0.330284
R	-0.394487	-0.889339	0.133651	-0.368832
S	-0.250375	0.0107888	0.00941673	0.161039
T	0.00776992	0.123957	0.204371	0.389905
V	-0.173009	-0.114647	-0.134535	0.101505
W	0.172269	-0.391687	-0.742351	0.0780651
Y	0.359899	-0.149119	-0.398956	-1.26933


1.84631
NumPairs:	21
Val	Let1	Pos1	Let2	Pos2
0.00786092	A	1	R	2
0.0089813	A	1	K	4
-0.00645349	L	2	F	3
-0.00943406	A	1	L	4
-0.00621034	I	2	L	4
2.18085e-005	A	1	A	4
-0.00718745	R	1	R	2
-0.00212634	R	1	L	4
-0.00705621	R	2	Y	3
-0.00727474	Y	3	L	4
-0.00208324	G	1	R	2
0.00137388	R	2	A	3
0.00183165	A	3	K	4
0.00973844	Y	2	A	3
0.00191262	A	3	L	4
0.00490011	A	1	Y	2
0.000368306	V	2	K	4
-0.0141233	L	1	I	4
-0.00109772	K	1	L	4
-0.00246574	A	1	F	4
-0.00246574	A	3	F	4
